date,market_return,baseline_position,baseline_turnover,baseline_return,baseline_equity,analyst_position,analyst_turnover,analyst_return,analyst_equity,benchmark_equity
2020-07-14,0.0165484014558403,0.5,0.5,0.00802420072792015,1.00802420072792,0.5,0.5,0.00802420072792015,1.00802420072792,1.0165484014558404
2020-07-15,0.0068773665095431,0.5,0.0,0.00343868325477155,1.0114904766673676,0.5,0.0,0.00343868325477155,1.0114904766673676,1.0235395773873424
2020-07-16,-0.0123049373241238,0.5,0.0,-0.0061524686620619,1.0052673132076975,0.5,0.0,-0.0061524686620619,1.0052673132076975,1.010944987038831
2020-07-17,-0.0020202543448417,0.5,0.0,-0.00101012717242085,1.0042518653790797,0.5,0.0,-0.00101012717242085,1.0042518653790797,1.0089026210363699
2020-07-20,0.0210739404635229,0.5,0.0,0.01053697023176145,1.01483363738977,0.5,0.0,0.01053697023176145,1.01483363738977,1.0301641748055825
2020-07-21,-0.0138016928043108,0.5,0.0,-0.0069008464021554,1.0078304263344025,0.5,0.0,-0.0069008464021554,1.0078304263344025,1.0159461653269095
2020-07-22,0.0028092783505153,0.5,0.0,0.00140463917525765,1.0092460644332484,0.5,0.0,0.00140463917525765,1.0092460644332484,1.0188002408944514
2020-07-23,-0.0455164614870594,0.5,0.0,-0.0227582307435297,0.9862774096218773,0.5,0.0,-0.0227582307435297,0.9862774096218773,0.9724280589667723
2020-07-24,-0.0024772470246109,0.5,0.0,-0.00123862351230545,0.985055783232664,0.5,0.0,-0.00123862351230545,0.985055783232664,0.9700191144510487
2020-07-27,0.0237002645359822,0.5,0.0,0.0118501322679911,0.9967288245553206,0.5,0.0,0.0118501322679911,0.9967288245553206,0.9930088240684979
2020-07-28,-0.0164275920261576,0.5,0.0,-0.0082137960130788,0.9885418973100674,0.5,0.0,-0.0082137960130788,0.9885418973100674,0.9766960802283261
2020-07-29,0.0191683869065173,0.5,0.0,0.00958419345325865,0.9980162740905383,0.5,0.0,0.00958419345325865,0.9980162740905383,0.9954177685842216
